Package,Version,URL,Status,Bloom Log,Build Log,Deb File,Installed Files
qb_device_bringup,0-2025.12.13.10.50,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_bringup_0-2025.12.13.10.50-bloom_generate.log,ros-one-qb-device-bringup_0-2025.12.13.10.50_amd64-2025-12-13T10:50:01Z.build,ros-one-qb-device-bringup_0-2025.12.13.10.50_amd64.deb,ros-one-qb-device-bringup_0-2025.12.13.10.50_amd64.files
qb_device_description,0-2025.12.13.10.54,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_description_0-2025.12.13.10.54-bloom_generate.log,ros-one-qb-device-description_0-2025.12.13.10.54_amd64-2025-12-13T10:54:19Z.build,ros-one-qb-device-description_0-2025.12.13.10.54_amd64.deb,ros-one-qb-device-description_0-2025.12.13.10.54_amd64.files
qb_device_gazebo,0-2025.12.13.10.58,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,failed-sbuild,qb_device_gazebo_0-2025.12.13.10.58-bloom_generate.log,ros-one-qb-device-gazebo_0-2025.12.13.10.58_amd64-2025-12-13T10:58:35Z.build,,
qb_device_msgs,0-2025.12.13.11.02,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_msgs_0-2025.12.13.11.02-bloom_generate.log,ros-one-qb-device-msgs_0-2025.12.13.11.02_amd64-2025-12-13T11:02:29Z.build,ros-one-qb-device-msgs_0-2025.12.13.11.02_amd64.deb,ros-one-qb-device-msgs_0-2025.12.13.11.02_amd64.files
qb_device_srvs,0-2025.12.13.11.06,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_srvs_0-2025.12.13.11.06-bloom_generate.log,ros-one-qb-device-srvs_0-2025.12.13.11.06_amd64-2025-12-13T11:06:54Z.build,ros-one-qb-device-srvs_0-2025.12.13.11.06_amd64.deb,ros-one-qb-device-srvs_0-2025.12.13.11.06_amd64.files
qb_device_hardware_interface,0-2025.12.13.11.11,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_hardware_interface_0-2025.12.13.11.11-bloom_generate.log,ros-one-qb-device-hardware-interface_0-2025.12.13.11.11_amd64-2025-12-13T11:11:19Z.build,ros-one-qb-device-hardware-interface_0-2025.12.13.11.11_amd64.deb,ros-one-qb-device-hardware-interface_0-2025.12.13.11.11_amd64.files
qb_device_utils,0-2025.12.13.11.16,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_utils_0-2025.12.13.11.16-bloom_generate.log,ros-one-qb-device-utils_0-2025.12.13.11.16_amd64-2025-12-13T11:16:03Z.build,ros-one-qb-device-utils_0-2025.12.13.11.16_amd64.deb,ros-one-qb-device-utils_0-2025.12.13.11.16_amd64.files
qb_device_control,0-2025.12.13.11.20,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_control_0-2025.12.13.11.20-bloom_generate.log,ros-one-qb-device-control_0-2025.12.13.11.20_amd64-2025-12-13T11:20:28Z.build,ros-one-qb-device-control_0-2025.12.13.11.20_amd64.deb,ros-one-qb-device-control_0-2025.12.13.11.20_amd64.files
qb_device_driver,0-2025.12.13.11.25,https://github.com/ros-o/qbdevice-ros/tree/obese-devel,success,qb_device_driver_0-2025.12.13.11.25-bloom_generate.log,ros-one-qb-device-driver_0-2025.12.13.11.25_amd64-2025-12-13T11:25:33Z.build,ros-one-qb-device-driver_0-2025.12.13.11.25_amd64.deb,ros-one-qb-device-driver_0-2025.12.13.11.25_amd64.files
robot_mechanism_controllers,1.10.18-3-g8e8dfa0-2025.12.13.11.30,https://github.com/pr2/pr2_controllers/tree/melodic-devel,success,robot_mechanism_controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.30-bloom_generate.log,ros-one-robot-mechanism-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.30_amd64-2025-12-13T11:30:19Z.build,ros-one-robot-mechanism-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.30_amd64.deb,ros-one-robot-mechanism-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.30_amd64.files
pr2_mechanism_controllers,1.10.18-3-g8e8dfa0-2025.12.13.11.35,https://github.com/pr2/pr2_controllers/tree/melodic-devel,success,pr2_mechanism_controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.35-bloom_generate.log,ros-one-pr2-mechanism-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.35_amd64-2025-12-13T11:35:57Z.build,ros-one-pr2-mechanism-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.35_amd64.deb,ros-one-pr2-mechanism-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.35_amd64.files
pr2_calibration_controllers,1.10.18-3-g8e8dfa0-2025.12.13.11.41,https://github.com/pr2/pr2_controllers/tree/melodic-devel,success,pr2_calibration_controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.41-bloom_generate.log,ros-one-pr2-calibration-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.41_amd64-2025-12-13T11:41:20Z.build,ros-one-pr2-calibration-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.41_amd64.deb,ros-one-pr2-calibration-controllers_1.10.18-3-g8e8dfa0-2025.12.13.11.41_amd64.files
pr2_gripper_action,1.10.18-3-g8e8dfa0-2025.12.13.11.46,https://github.com/pr2/pr2_controllers/tree/melodic-devel,success,pr2_gripper_action_1.10.18-3-g8e8dfa0-2025.12.13.11.46-bloom_generate.log,ros-one-pr2-gripper-action_1.10.18-3-g8e8dfa0-2025.12.13.11.46_amd64-2025-12-13T11:46:24Z.build,ros-one-pr2-gripper-action_1.10.18-3-g8e8dfa0-2025.12.13.11.46_amd64.deb,ros-one-pr2-gripper-action_1.10.18-3-g8e8dfa0-2025.12.13.11.46_amd64.files
rviz_imu_plugin,1.2.7-2025.12.13.11.51,https://github.com/CCNYRoboticsLab/imu_tools/tree/noetic,success,rviz_imu_plugin_1.2.7-2025.12.13.11.51-bloom_generate.log,ros-one-rviz-imu-plugin_1.2.7-2025.12.13.11.51_amd64-2025-12-13T11:51:17Z.build,ros-one-rviz-imu-plugin_1.2.7-2025.12.13.11.51_amd64.deb,ros-one-rviz-imu-plugin_1.2.7-2025.12.13.11.51_amd64.files
